PanjivaRecordID,score
200819083,0.13176104
196916209,0.1325354
201076474,0.13667129
196916155,0.13935027
200818895,0.13935027
200818304,0.13938262
197195184,0.14068784
196916078,0.14239857
200818709,0.14239857
194809437,0.1456304
196916044,0.15455325
200819538,0.15651567
191168125,0.15660651
200818594,0.15698674
200818713,0.15751405
196916079,0.15751405
193394949,0.1581755
200818308,0.15900663
192150590,0.15910749
196330249,0.15960336
198418901,0.16023028
196915940,0.16190232
201340515,0.16265394
200818997,0.16327019
196309984,0.16487806
200818788,0.16529728
192046003,0.16699862
197667880,0.16730252
197600426,0.16871859
195818163,0.1691929
200818712,0.16994941
197102623,0.17007536
201479926,0.17109786
196915995,0.17185147
194805405,0.17204906
200818686,0.17211957
200818603,0.17344898
196916042,0.17344898
196915989,0.17768992
192038347,0.17790231
201292213,0.17864893
193929272,0.17995301
193929765,0.18054558
201846065,0.18076542
195818162,0.18089429
194809301,0.18254836
193559122,0.18254836
200818689,0.18264769
195889814,0.18435481
197733134,0.18496194
200818816,0.18734051
200241408,0.18830931
200139492,0.1885088
200818464,0.18856378
200818238,0.18925357
191353759,0.18977755
201076430,0.18990889
196916243,0.1900599
200819181,0.1900599
191167699,0.19179422
193929270,0.19316642
196049841,0.19466732
200977603,0.19490074
193929824,0.19505978
201141036,0.19522955
191353688,0.19580325
197057296,0.19588126
200818671,0.19703968
200818673,0.1981798
193946476,0.19864023
196840067,0.19872656
193770236,0.19891378
200819111,0.200413
200819605,0.20065321
200819614,0.20101978
198695332,0.20163329
191170957,0.20224738
196326813,0.20297806
201076453,0.20422009
201143335,0.20432635
197557004,0.2049847
193946541,0.20521705
201430802,0.20587265
192045292,0.20600203
200796976,0.20656657
192045491,0.20671728
192116732,0.20701551
200756738,0.20791596
194611393,0.2079399
198205508,0.20882396
193875956,0.20903003
196317682,0.20906089
200819115,0.21014607
201696345,0.21022119
197589560,0.21105364
193149836,0.21111058
201790544,0.21146004
191167195,0.211882
200969979,0.21288013
200818497,0.21296337
195318515,0.21306363
192226259,0.21328646
195747223,0.21430983
195657076,0.21457423
196112167,0.21591099
197216819,0.21595363
200818316,0.21625948
201755738,0.21628755
193558144,0.21662986
197736803,0.21720605
192045493,0.21742098
197346057,0.21806128
201847626,0.21948348
191193762,0.21986504
200969908,0.22011515
197305448,0.22055891
200818984,0.22092858
194608377,0.22118266
193713068,0.22133693
193083994,0.22151694
192458354,0.22255616
193045381,0.22285053
192268135,0.22304104
199529554,0.22325219
193045383,0.22356762
193149838,0.22388685
192079483,0.22413972
199329710,0.22471556
197732525,0.22544949
201067701,0.22573334
192150604,0.22600663
194004769,0.22606638
192458353,0.2261227
195722421,0.22655405
201776651,0.22692911
196604707,0.22721839
197211970,0.22729693
193875757,0.22774728
197216813,0.22779281
191169539,0.22784416
193929670,0.22788371
192074793,0.22813585
194004767,0.22931471
192459088,0.2293397
200361293,0.2295192
197598121,0.22959635
197768535,0.22984578
200818527,0.2303486
198418915,0.23063716
196343952,0.23066826
194162579,0.23067185
192045308,0.23078568
199438772,0.23139702
193110697,0.23174821
197331581,0.2317923
197730786,0.23182066
201608920,0.23182751
201846499,0.23226684
193875742,0.23245592
192670913,0.23254043
193929279,0.23287205
199434852,0.23474011
200241409,0.23478425
195500205,0.23586054
201456514,0.23604259
192079510,0.23611413
197655304,0.23627295
193876008,0.23669311
194809940,0.2369962
192079435,0.23702535
195694432,0.23743415
197057298,0.23767984
198230429,0.23786876
191176499,0.23791844
199438774,0.23809126
199352790,0.2381449
194004768,0.23825009
197668687,0.23837762
197736225,0.23843126
193433994,0.23943768
193244913,0.23944016
196999633,0.23955356
197043377,0.2396233
193843101,0.23967516
193149837,0.23994099
193503964,0.24005878
197730729,0.24026628
197215654,0.24044819
196593851,0.24051197
201755737,0.24081302
193875955,0.24081929
193557493,0.2410793
193846215,0.24116632
197146436,0.24147859
193708504,0.24215053
196935878,0.24226227
193875639,0.24245626
200669915,0.24288407
197233535,0.2429158
197076360,0.24298373
193946555,0.24343486
201762056,0.24393706
197665096,0.24393706
193823889,0.24393706
192171632,0.24459235
194809289,0.2447388
192599159,0.24485609
196357673,0.24485609
201488993,0.24509044
191168639,0.24531265
193712874,0.24538298
201777154,0.24547355
200219049,0.24671383
197768530,0.24699014
195358591,0.2474063
201423354,0.24751575
197514198,0.2476135
193876007,0.24766274
193205546,0.24766928
197617867,0.24813366
199438956,0.24841653
197427301,0.24844597
195634928,0.24870491
201076626,0.24898493
193339418,0.2499099
193875954,0.2500425
196596243,0.25049466
192046021,0.25093293
199329709,0.25093332
191170358,0.25118774
199822725,0.25155315
195889828,0.25160724
200813558,0.2516525
192079502,0.25190985
199529482,0.25190985
192267671,0.25205508
197216842,0.25235263
199563168,0.25257316
193897301,0.25264224
193876033,0.25272587
193205549,0.25277796
200249249,0.25280705
197331648,0.25305298
200969963,0.25317258
201456494,0.25321883
191353910,0.253658
192070035,0.25410515
198228596,0.25443366
197212119,0.25467604
201076681,0.2547267
201511134,0.25474337
194004766,0.25489923
199791512,0.25511077
191169477,0.2551727
200969974,0.25527495
196764697,0.2557047
193140321,0.2562547
193246768,0.2563226
197169320,0.2564964
193503961,0.2564964
200669914,0.2565203
201029909,0.25697196
195406317,0.25725234
200649440,0.25754362
196916131,0.2578536
200843758,0.25790575
192605343,0.25815797
201481930,0.258579
197735443,0.25870678
194039954,0.25940472
198419091,0.2596595
198237619,0.25998756
193465785,0.260154
200651854,0.2602039
200568799,0.26021397
197588871,0.26021957
201787165,0.26021957
193846214,0.26037735
192075008,0.26043522
193929645,0.26050034
201747639,0.2605217
198230941,0.2605806
193929555,0.26070789
194011240,0.26100692
199972484,0.26110813
191176235,0.26144952
201846064,0.2617191
195739593,0.26180708
195749823,0.26186413
196237618,0.26208222
193875735,0.26238814
196398322,0.26259318
191889518,0.2626393
193807504,0.26268542
200915013,0.2627948
192076735,0.26300701
193557682,0.26313037
198239189,0.26316845
197643328,0.26348677
193112264,0.26366523
200949073,0.2637277
201422271,0.26401538
197768570,0.26403612
200994648,0.2640695
193766952,0.26407063
195381947,0.26421368
199322015,0.26455992
195309218,0.26455992
199516927,0.26458827
196983927,0.26476145
192458357,0.2652466
200679486,0.26526156
192079602,0.2653944
196821390,0.26628977
196099480,0.26641172
195791843,0.2665747
195702229,0.26665065
197478579,0.2667114
200853011,0.2667514
192317884,0.2668425
197626928,0.26703066
200094168,0.26705068
196744506,0.267121
199481945,0.26734033
193040963,0.26739287
200811904,0.26741865
201417666,0.26747078
196750763,0.26747668
197410177,0.26747763
200819232,0.26760188
199438950,0.26762283
196656463,0.26762906
195667804,0.267808
199797522,0.26797688
197588872,0.2680115
200996501,0.26825473
200818854,0.26855394
192046024,0.2687687
193350773,0.2689861
199342662,0.26971185
197353809,0.26986125
193269603,0.26986256
192045263,0.269923
193875818,0.26996124
199645461,0.2700535
198695158,0.27006602
197212177,0.2700703
197652257,0.27012298
200922590,0.27045852
201475540,0.27055764
197548017,0.27064353
195749826,0.27074698
197556855,0.27080956
201502859,0.27115998
193888246,0.27120683
193040959,0.2712886
192046036,0.27158442
196750759,0.27185506
197195182,0.2719445
193611605,0.2725482
199871303,0.27270716
201423605,0.2728331
200156782,0.27310005
191169776,0.2731914
193958426,0.27326044
193559161,0.27370888
192249951,0.27384758
193875733,0.27387622
192629798,0.27446705
191186391,0.2745037
200813557,0.2745914
200969968,0.27511021
192433752,0.2751389
199563170,0.27530298
192171631,0.2753184
198209247,0.27550593
193347617,0.2755138
201024136,0.27552724
201358252,0.2756679
201759495,0.27592787
201073119,0.27608025
200636743,0.2761559
201327299,0.27625728
201293932,0.276271
197105620,0.27627614
199519361,0.2763383
193843046,0.2763708
195791384,0.2764302
197219025,0.27643096
193290934,0.27644077
193558720,0.276507
200097578,0.27664486
192625353,0.27688506
201777444,0.27716267
200969997,0.27717775
193850358,0.27728367
193876689,0.27743468
200996198,0.27761534
199352800,0.2776986
200240731,0.2778211
192044113,0.2778879
200188989,0.2780067
201757468,0.2780439
201293931,0.27809423
196984023,0.27811673
193040961,0.2781603
200925727,0.2782133
193051670,0.2784381
196856851,0.27853018
192161732,0.27870148
193929238,0.27885696
193876687,0.2789993
201035745,0.27901387
200392988,0.27908373
201456523,0.27927014
199352802,0.27954993
196766189,0.27972123
193875734,0.27977303
197100378,0.27984914
193929676,0.28019017
193925596,0.280199
198241391,0.28024408
197617062,0.28026536
201468492,0.28026536
195753855,0.28029305
193182779,0.28035855
197319882,0.280361
201649506,0.280361
201502687,0.28056633
194162381,0.28078607
197369740,0.2808212
200358759,0.28087136
197376188,0.28098738
193431702,0.28123337
200417000,0.28123915
199895366,0.28127703
200174300,0.28138366
200742333,0.28143975
195644111,0.28158665
200969945,0.28159684
200562981,0.2816881
197735623,0.28199783
193558284,0.28228933
194807365,0.28228933
201024140,0.28231215
196801025,0.28231215
194051497,0.2823233
201475579,0.28242588
196950615,0.28271613
191168665,0.28283772
201846632,0.28304633
201024902,0.28309143
198240504,0.28328368
199526980,0.2833171
200969994,0.28341502
192915278,0.28343713
193876690,0.28348666
192249911,0.28357774
197590564,0.28389174
197474925,0.28439972
198418880,0.28443068
193857428,0.28445232
197547012,0.28461948
195583389,0.28500447
195635277,0.285034
196739676,0.28506994
201506435,0.2852322
193035238,0.28537023
196728569,0.28537023
200097575,0.28541368
195362262,0.285489
197632454,0.2854992
201846313,0.28556082
201456533,0.28562427
201847451,0.28567606
193111256,0.2859592
192046034,0.2859895
197730733,0.28609926
197731333,0.28629982
200572883,0.2864113
195672227,0.28645286
200931531,0.28656414
200747096,0.28679764
200358756,0.28687236
192689459,0.28688532
192063311,0.2869081
196984359,0.28692964
193658074,0.28730083
201475680,0.28737497
194805367,0.28744844
201845808,0.28744844
193558170,0.28751025
196801024,0.28788438
201024139,0.28788438
193329156,0.28788438
192684869,0.28848147
193441952,0.2884929
194162798,0.28873822
193912657,0.2889682
197658825,0.2889682
195362260,0.28900635
197556850,0.28924248
199443656,0.28962868
193246627,0.28988436
197975252,0.2898932
200562978,0.28989378
195791344,0.2899151
201610549,0.28993946
201475329,0.28994542
196534924,0.290134
197239767,0.2901416
