PanjivaRecordID,score
240192081,0.11622654
234754155,0.1261859
243013705,0.13739745
232547835,0.14074725
238988328,0.1706275
235527381,0.17386885
235527378,0.17859316
235168841,0.18235159
235527379,0.18548524
238988896,0.18683308
235527380,0.1873578
247485066,0.19242534
247238092,0.20419562
247238093,0.20484911
231948352,0.20530981
240191500,0.21010417
244297958,0.21010417
239178734,0.211254
235530051,0.211254
247238094,0.22119017
235527366,0.22412607
232544515,0.23256922
240205380,0.23701678
231953363,0.2383603
246606885,0.23886298
247013639,0.24116848
234781622,0.24276072
242918449,0.25593778
240083688,0.25813127
235186746,0.25903487
247103764,0.25903487
242970447,0.25910175
236385938,0.26072636
244309639,0.2628257
240205205,0.26579627
238352546,0.27139217
232543426,0.2716462
242739068,0.27207625
238655657,0.27207625
246938195,0.27207625
246777508,0.27255982
234535644,0.27384743
239178727,0.2750552
244309628,0.2775664
240205670,0.27788892
243080298,0.2794794
240191427,0.28015965
238445247,0.28152978
235135013,0.28512397
247132121,0.28693068
236391187,0.28694683
235193529,0.28739542
232547751,0.28791285
240081858,0.28853923
242818701,0.28914437
240192232,0.28946826
235193531,0.29013044
246632365,0.2904716
247106327,0.29117718
247513907,0.29166913
243078843,0.29166913
246873786,0.29218164
247293098,0.29439726
235206939,0.29469034
246821551,0.2964255
235206940,0.29776174
243165648,0.29851705
235136190,0.30076104
246632364,0.3018435
238970726,0.30281872
243106640,0.30281872
238892925,0.30368257
246632366,0.3040764
247051160,0.3050288
242858331,0.30509064
235061505,0.30582362
247252097,0.30783728
235331780,0.30900207
234625112,0.31117302
246839627,0.31281853
247413441,0.31303868
244309743,0.3132566
244309726,0.3137752
242557709,0.31420267
243165394,0.31782022
232547683,0.31819823
234576521,0.32028195
235513885,0.32146454
242513411,0.32276163
236388197,0.32364908
244309153,0.32391906
232544458,0.32420522
242513412,0.32420588
242737824,0.32467753
242563460,0.32492417
246659088,0.32500055
246821552,0.32633817
243187759,0.32655168
240191086,0.32664126
242818678,0.32705116
247194414,0.32705116
240205295,0.32824212
244309641,0.32824212
240192221,0.3296406
232543714,0.3296406
235064447,0.3307023
240193915,0.33216217
246690039,0.3329308
235089263,0.33328557
235193301,0.33469835
235193302,0.33469835
236390840,0.33531085
236389932,0.3362403
232546262,0.3362403
240204654,0.3362403
244308954,0.3362403
238515178,0.3362673
244309854,0.33665773
235514411,0.3371653
236386000,0.33760706
244309739,0.33785042
244297982,0.3384253
236391495,0.33843318
244302828,0.33847797
238955386,0.33850914
242599138,0.33968404
242988880,0.34023234
244302909,0.34067628
234708210,0.34305027
238655658,0.34305027
232547694,0.3432722
234809967,0.34331155
246659094,0.34352905
244309614,0.343743
239074612,0.34399801
242718674,0.34515628
232543587,0.34533218
246784739,0.34625664
243069630,0.3481199
247308359,0.3481199
246699291,0.34850472
246876979,0.3498932
240204805,0.34999123
243165420,0.3500029
247407129,0.3500029
239178762,0.3500029
247407152,0.35004246
243165504,0.35004246
235530159,0.35004246
239178793,0.35004246
238604196,0.35144478
232543777,0.35155067
236429765,0.35202104
246562931,0.35232213
238981445,0.35235715
235207735,0.35283357
242971938,0.35311344
240081943,0.35413462
247230212,0.3544611
234576519,0.35486346
242415230,0.35486346
247197198,0.3548842
246562930,0.35500425
247028339,0.35509476
238927085,0.35544857
247155501,0.35594144
246876088,0.35600853
235304625,0.35632017
232544116,0.35826486
247129668,0.35826507
231953371,0.3583829
238989330,0.3587128
242663195,0.3589977
235207736,0.36028215
247441684,0.3605753
234413714,0.3607127
238891327,0.36143655
244309786,0.3617795
242717904,0.36202663
247130523,0.36208105
238989572,0.36208105
247028341,0.3622983
235136213,0.36246374
235137373,0.36289698
234860355,0.36296102
247197200,0.36305547
243189467,0.36317116
247095911,0.36444083
242902468,0.36444083
238927082,0.36454394
247182451,0.36484408
247197197,0.36513016
236390899,0.36515278
234413183,0.36516187
246771354,0.3655003
238754222,0.36615127
234860354,0.36615127
242400778,0.36695093
242959836,0.36808372
247109950,0.36808372
235137374,0.3681781
243042343,0.36917585
244302819,0.3694815
242889599,0.36994544
242472453,0.36997575
238927077,0.370182
238927093,0.37033752
242556169,0.3703933
238921309,0.37094432
234485144,0.37139598
246702669,0.37150085
246607430,0.37153965
234860356,0.3715521
244297909,0.37169152
235052771,0.37228447
234388595,0.372377
242963737,0.37251636
235142471,0.3729887
246623728,0.3738361
243078873,0.3742571
235137974,0.37434787
242878905,0.37575084
247029857,0.37575084
238861076,0.37575084
235075363,0.3760572
236440404,0.37613517
247062302,0.37650242
240192287,0.37662512
244298137,0.37662512
238443737,0.3766311
246699293,0.37674823
234485145,0.37674823
242537198,0.37674823
247289895,0.37675855
247251226,0.37745863
247110331,0.37776104
243165419,0.37848574
247407128,0.37848574
239178761,0.37848574
235530105,0.37848574
247183164,0.37874177
246632993,0.37874538
242251821,0.37874538
234413184,0.37874538
247153245,0.37914097
242840279,0.37920913
246744751,0.37938085
231947733,0.3794062
240205631,0.3797715
246691781,0.38010052
239102686,0.3801201
244302847,0.38036287
240205763,0.38043937
232547885,0.38043937
242362120,0.38044024
240192288,0.3810487
246837678,0.3813955
246895775,0.38146624
235302731,0.38147354
242814130,0.3819121
234485143,0.38199875
246699290,0.38199875
242537197,0.38199875
236390260,0.38225427
247093771,0.38289416
242941151,0.38289416
242718659,0.3830962
234687858,0.3830962
235137371,0.38321474
247281376,0.3838518
238981908,0.38397127
244308936,0.38436216
240204638,0.38436216
244308830,0.38468462
238541718,0.3848115
238962882,0.38605922
232544790,0.38651034
247289795,0.38673142
238943998,0.38673142
244309552,0.38675666
242820753,0.3867702
247269038,0.3868326
242761105,0.38740128
235096885,0.38745725
238889233,0.38745725
243032300,0.3875178
235513886,0.387772
236386178,0.38798675
247064327,0.3880917
234552001,0.3888205
235042742,0.3888595
238905645,0.3888595
247077767,0.3888595
236386179,0.3896585
235028129,0.38976845
238949752,0.39008793
242925794,0.39008793
238978219,0.39020056
236386051,0.39031932
232543427,0.39031932
247230360,0.39043456
242871525,0.39043456
232547679,0.39110547
235132640,0.39120474
247269768,0.39173812
246693089,0.3917567
242628415,0.39195007
246900855,0.39195007
247514692,0.39228174
235109829,0.3927203
242614589,0.393025
238400251,0.39315405
246837677,0.3937755
238427289,0.3937755
235068282,0.3943488
247238549,0.39470008
243123360,0.39476025
235225585,0.39476025
234484864,0.39519775
234505361,0.39525247
242538009,0.39525247
238956983,0.39545676
247442503,0.3956188
234817774,0.39562654
244298015,0.39571458
240192164,0.39571458
232543553,0.39571458
236386679,0.39571458
235329850,0.3957611
247194320,0.39583585
238842202,0.39583585
238846268,0.39593518
242821184,0.39593518
247182450,0.3960665
231948518,0.3965529
238830595,0.39674556
243065415,0.39707252
235302732,0.3973828
242646184,0.39783242
247182523,0.3979711
235213497,0.39805087
240205238,0.39820355
242718671,0.39903674
235311144,0.399226
234930954,0.39923403
242686048,0.39923403
243028262,0.39940292
235048922,0.39946872
235108208,0.3997798
232543497,0.40018237
236390877,0.40026972
239178763,0.4004976
238664041,0.40088144
247245671,0.400981
247014905,0.4009874
238404134,0.40099707
235126577,0.401529
247199343,0.40165877
242917789,0.4021432
247074569,0.40239805
235064399,0.40243185
244297912,0.4027985
243186289,0.4031237
246691710,0.40370005
243101627,0.40413016
243082363,0.4041345
238948621,0.40438008
238966370,0.40474248
242346334,0.40484333
238352146,0.40484333
242883365,0.40518582
242988879,0.40522927
247269767,0.40555927
244309718,0.4062944
246837711,0.40663156
231953357,0.40667617
247223148,0.40705246
238855094,0.40705246
247514711,0.4072751
235334776,0.4073334
244309780,0.40748984
246644663,0.40773347
244309736,0.40783697
246623731,0.40823323
246697712,0.4085364
244309753,0.4087532
238848506,0.40887576
232547078,0.4089382
236389773,0.4090704
235061030,0.40917116
238855896,0.40924808
240193247,0.40930986
232547695,0.40935358
235088656,0.40986928
235126960,0.40991616
247269644,0.40991616
247162243,0.40991664
235225576,0.41072708
238480173,0.41079086
247119785,0.41095135
247119782,0.41095135
235335719,0.4110027
235291389,0.41113812
246936562,0.41205582
246722824,0.41210428
243188783,0.41216797
246712259,0.41263512
232547624,0.41278097
246691714,0.4130616
235195012,0.41324058
247252045,0.4137411
247494166,0.41390908
240083689,0.41391322
238625688,0.41422072
234485132,0.4149028
247237380,0.4154153
234686461,0.4154182
247155433,0.4155095
235121077,0.41558465
247123215,0.41600722
234547833,0.41621554
244309788,0.4162563
235051884,0.4162582
240192223,0.41638517
243080295,0.41665265
238530243,0.41685912
243010911,0.41757655
247224247,0.41757655
243188782,0.4178634
238927210,0.41796035
243066901,0.41817588
238352148,0.4181914
247485077,0.41835186
247123068,0.41848835
247477849,0.4185253
247249938,0.4186211
238480177,0.41868013
242251818,0.4188756
234593994,0.4190537
242941152,0.4190788
243168856,0.4193042
235533385,0.4193042
236390712,0.41938397
232543448,0.41946194
242917790,0.41952437
232547892,0.41992846
244309805,0.41992846
247224246,0.42013726
234717027,0.42034355
244309542,0.42041135
240192196,0.42060307
246783967,0.42064503
239183965,0.42069754
234843618,0.42109638
235064398,0.42119887
246936561,0.4213809
247026151,0.4213845
234808619,0.4213845
238718778,0.4213845
234603090,0.42184633
235335720,0.42186987
247477850,0.42186987
244309715,0.42189023
232543442,0.42194968
247494170,0.42204636
246936564,0.4222985
247067951,0.42245683
235172288,0.42245683
238354600,0.4227527
239175140,0.42303213
243147547,0.42303213
247386312,0.42303213
238817928,0.42315832
247026150,0.42336297
232547538,0.42346966
247477848,0.4236776
234808607,0.42370784
238718770,0.42370784
235232915,0.423882
246914279,0.423883
238955282,0.42440784
232547750,0.4244242
